n, p, k, data_gen, fit_iter, recovery_pop_train, recovery_pop_test, mse_pop_train, mse_pop_test, recovery_cluster_train, recovery_cluster_test, mse_cluster_train, mse_cluster_test, recovery_notmad_notears_train, recovery_notmad_notears_test, mse_notmad_notears_train, mse_notmad_notears_test, recovery_notmad_dagma_train, recovery_notmad_dagma_test, mse_notmad_dagma_train, mse_notmad_dagma_test, recovery_notmad_poly_train, recovery_notmad_poly_test, mse_notmad_poly_train, mse_notmad_poly_test
100, 4, 4, 0, 1, 3.2617748337316184, 2.6914409822548033, 0.07384760060052903, 0.03757338938985459, 3.2150348894551075, 2.652499387452448, 0.07437450248433503, 0.03767969562666656, 2.679159064894933, 2.2149996629587, 0.0466187626347546, 0.019806326552267044, 2.8944549601100604, 2.354799450961165, 0.06307490190162376, 0.029811575290533854, 3.16923687898929, 2.599972240645876, 0.07145237454361592, 0.03551269636104374
100, 4, 4, 0, 2, 3.2036078889352257, 2.6328467489865215, 0.07247298237499039, 0.03637434072600725, 3.2267727024073216, 2.656772626052282, 0.07451703924138567, 0.03775456357190124, 2.9796417862567433, 2.4171625284674603, 0.06696862033895498, 0.031921718935294344, 2.9015905113894243, 2.3581889591685443, 0.06536415834540138, 0.031080165382883124, 3.158960965537201, 2.5884996512612, 0.07136603648559266, 0.035364484751604246
100, 4, 4, 1, 0, 3.172846676065254, 4.691715082787661, 0.044255291614181826, 0.03964824631932972, 3.178878016791947, 4.698277092153381, 0.04544156658443767, 0.04079844373138188, 2.9371427425875622, 4.353703057988527, 0.03395040580464703, 0.028730057527540816, 3.0333869813279764, 4.541691468613907, 0.041825850017985076, 0.036596046809381014, 3.1319141027466477, 4.649749551267205, 0.04364692451713292, 0.03882524130664575
100, 4, 4, 1, 1, 3.1782712177474246, 4.698303290188546, 0.044488080144024035, 0.03979212624082223, 3.1750607026447453, 4.69522970301012, 0.045572185399238116, 0.04072337727986541, 3.1115633739557005, 4.552915692328287, 0.032137582709748425, 0.028454180216538106, 3.117872876904293, 4.634224546497547, 0.043408922455957274, 0.03844840407335066, 3.1700133990234916, 4.687746915878231, 0.04399974652336795, 0.039225784363412265
100, 4, 4, 1, 2, 3.2073684289573565, 4.7264799901563395, 0.04484212060858331, 0.040301449758527404, 3.17815215611131, 4.698114610537998, 0.04547083824663458, 0.04078182549273863, 3.01608828887841, 4.53565495531791, 0.04209891999088793, 0.03686853121921278, 2.9953131489225426, 4.510197638765896, 0.041569380755584626, 0.03610221913528788, 3.1546060214410416, 4.673642477230086, 0.04397051056085269, 0.039186037467768754
100, 4, 4, 2, 0, 3.2107474476438638, 4.218476137909069, 0.0894112118369053, 0.16895841154445837, 3.2355552175088023, 4.235068272344936, 0.09177417452263383, 0.17284317201900945, 3.211491075810147, 4.13934699840209, 0.04428748449066139, 0.08523391997465138, 3.001649416834133, 3.9938911527163485, 0.0821893584721842, 0.1561251768197418, 3.186001483295446, 4.193613436975654, 0.08875588436380759, 0.16794835997516303
100, 4, 4, 2, 1, 3.2109941543271434, 4.218624780450853, 0.08935893933376032, 0.16867344459731284, 3.2289592350486465, 4.241707921747754, 0.09181994450908376, 0.17328100053209003, 3.0447333126178733, 3.940325568029097, 0.04895958418250419, 0.09313663602275143, 2.836515542379164, 3.843596574975533, 0.0731041370023857, 0.141029774645987, 3.1927565877514077, 4.200855986179484, 0.08885006611557127, 0.16804807313353995
100, 4, 4, 2, 2, 3.200930947390883, 4.208529649949837, 0.08934544880082514, 0.16890452501400033, 3.226001923098676, 4.227893051812868, 0.09196868669871605, 0.1731500032334097, 2.834835974961413, 3.700052584796328, 0.039206620620515026, 0.07608911922349887, 2.919116597786827, 3.9150480038516844, 0.07810466295222446, 0.14941746339269527, 3.171613065642216, 4.174720484684525, 0.0877310440109679, 0.1659451693853826
100, 4, 8, 0, 0, 3.3882537762521547, 3.3293284097126494, 0.08728970905983158, 0.35372454057414476, 3.333212303631053, 3.27246741327278, 0.08931311837881155, 0.35786084973761956, 3.3760548824800787, 3.3543912166114125, 0.028978209319408706, 0.09805459646802736, 3.1560969732962, 3.1011800176235793, 0.0778315311117352, 0.319491697958217, 3.279659729274549, 3.218141974994978, 0.08568064172104506, 0.34764725446150435
100, 4, 8, 0, 1, 3.361608745044267, 3.3019536298782106, 0.08702204690245567, 0.35262357904485947, 3.3340348542503384, 3.273628005559971, 0.08926256325670012, 0.3568814208961093, 3.0051312263133014, 2.9681222940061605, 0.042421138452893414, 0.17569129442709372, 3.322168565206569, 3.3032042949773768, 0.05480145410408242, 0.2570288537262509, 3.306180661157612, 3.2461996281305945, 0.08574367027807253, 0.3492628277342951
100, 4, 8, 0, 2, 3.324109590724654, 3.2622264071942397, 0.08796022313132762, 0.355235947541993, 3.3197602023986788, 3.2593410188659697, 0.08914139399695063, 0.35871391288454496, 3.297217386943012, 3.233942363744377, 0.05707543867842069, 0.24463783366799005, 3.125116939586495, 3.0792931113704904, 0.07084879240457957, 0.30489921964454325, 3.292057095562756, 3.2321839971528568, 0.08530453815961471, 0.3472962013054521
100, 4, 8, 1, 0, 3.2011140268914917, 3.0626399101673, 0.0779634328043362, 0.034194798757293504, 3.162632319501277, 3.020680452086014, 0.08067158868537168, 0.03527231143955884, 3.0056387275615646, 2.943395160450909, 0.02680186830067898, 0.019121096500187822, 2.758842351821863, 2.6148326381438327, 0.06624847894915545, 0.026940447141164784, 3.136114088431312, 2.9952584458638043, 0.07709154543040846, 0.033120997937566274
100, 4, 8, 1, 1, 3.1400352159866203, 2.9970898080234742, 0.07812388478183076, 0.033521617630501196, 3.143271076666002, 3.000623139320157, 0.08085193224719271, 0.03530908500817218, 3.078705717368036, 3.0166531768437848, 0.04287891857256005, 0.02310540949593438, 3.0221350106158056, 2.8758149479259627, 0.07216451611583281, 0.03167737646239266, 3.1170747725947914, 2.972944193461555, 0.077040335910027, 0.03302333266688307
100, 4, 8, 1, 2, 3.146350849326727, 3.003885980457621, 0.07856746539870148, 0.033661133598185684, 3.1702371705607226, 3.0301580660653915, 0.08070693412466301, 0.03514658856566691, 3.140246847070612, 3.034188599222842, 0.0535617428084211, 0.02770794645298646, 3.0420587945821547, 2.8944674370499723, 0.07432304807577286, 0.032014899371991555, 3.1074135653535633, 2.963092823620702, 0.07688364510603964, 0.03299749423275291
